user_id,session_date,session_duration_min,videos_watched,likes,comments,is_retained_7d
user_1,2025-04-20,1.7,5,4,1,0
user_1,2025-04-20,2.39,5,2,0,0
user_1,2025-04-20,3.46,6,2,0,0
user_1,2025-04-25,0.67,7,2,0,0
user_1,2025-05-05,24.0,12,2,0,0
user_1,2025-05-07,3.94,6,3,0,0
user_1,2025-05-07,43.34,2,1,0,0
user_1,2025-05-08,13.06,6,0,0,0
user_1,2025-05-12,3.93,11,1,0,0
user_1,2025-05-25,0.32,8,2,0,0
user_1,2025-06-02,26.55,10,2,1,0
user_1,2025-06-06,17.04,4,0,0,0
user_1,2025-06-10,28.63,9,0,1,0
user_1,2025-06-14,6.99,4,1,2,0
user_1,2025-06-15,2.77,8,4,0,0
user_1,2025-06-17,2.06,3,1,0,0
user_1,2025-06-23,10.36,6,3,1,0
user_1,2025-07-07,2.98,9,2,1,1
user_2,2025-04-18,0.88,3,0,0,0
user_2,2025-04-26,0.05,7,3,1,0
user_2,2025-04-26,18.92,5,4,0,0
user_2,2025-05-01,22.26,8,3,0,0
user_2,2025-05-18,28.21,9,2,2,0
user_2,2025-05-18,3.81,8,2,2,0
user_2,2025-05-22,13.5,15,4,0,0
user_2,2025-06-05,8.63,5,0,1,0
user_2,2025-06-06,4.47,5,0,0,0
user_2,2025-06-11,7.78,8,0,3,0
user_2,2025-06-19,18.08,6,2,0,0
user_2,2025-06-22,30.98,7,1,0,0
user_2,2025-06-29,0.42,7,2,1,0
user_2,2025-06-29,10.08,6,0,1,0
user_2,2025-06-29,0.27,12,2,0,0
user_2,2025-07-03,0.99,4,2,0,0
user_2,2025-07-13,1.26,12,3,3,1
user_2,2025-07-14,19.55,10,5,0,1
user_3,2025-04-22,30.08,9,3,0,0
user_3,2025-04-25,7.97,7,1,1,0
user_3,2025-04-27,0.76,6,3,2,0
user_3,2025-05-08,42.69,7,2,0,0
user_3,2025-05-08,6.32,2,1,0,0
user_3,2025-05-13,8.76,6,4,0,0
user_3,2025-05-14,22.18,10,5,0,0
user_3,2025-06-08,3.3,9,5,3,0
user_3,2025-06-12,11.98,13,1,1,0
user_3,2025-06-14,16.64,10,5,2,0
user_3,2025-06-20,81.72,10,4,1,0
user_3,2025-07-01,4.43,10,1,2,1
user_3,2025-07-04,9.68,3,1,0,1
user_4,2025-05-02,23.45,10,3,3,0
user_4,2025-05-03,6.78,4,0,0,0
user_4,2025-05-06,1.49,7,0,0,0
user_4,2025-05-12,3.27,3,0,0,0
user_4,2025-05-20,7.0,6,0,0,0
user_4,2025-05-21,16.41,7,3,0,0
user_4,2025-05-22,2.91,8,2,0,0
user_4,2025-06-07,3.89,8,2,1,0
user_4,2025-06-11,13.68,6,4,1,0
user_4,2025-06-14,2.71,3,0,0,0
user_4,2025-06-15,1.9,6,4,1,0
user_4,2025-06-22,16.99,8,2,0,0
user_4,2025-07-11,7.08,5,1,0,1
user_4,2025-07-16,0.53,5,1,1,1
user_5,2025-04-20,6.38,9,4,1,0
user_5,2025-05-06,18.44,4,2,1,0
